天南星,防风#等分
人参,天麻,防风#15g,僵蚕,蝉蜕,全蝎#9g,雄黄,胆星#1．5g,牛黄,甘草,独角仙#3g,白花蛇肉4．5g,朱砂,麝#4g,代赭石4．5g
羌活,菊花,麻黄,川芎,石膏,防风,前胡,黄芩,细辛,甘草,枳壳,白茯苓,蔓荆子#30g,薄荷15g,吴白芷15g
秦艽90g,石膏60g,甘草60g,川芎60g,当归60g,川羌活30g,川独活60g,防风30g,黄芩30g,白芍药60g,吴白芷30g,白术30g,生地黄30g,熟地黄30g,白茯苓30g,细辛15g
天麻30g,乌梢蛇60g,白僵蚕22．5g,干蝎22．5g,附子30g,干姜15g,桂心22．5g,防风22．5g,蝉蜕22．5g,川乌头22．5g,羌活22．5g,细辛22．5g,独活22．5g,麻黄45g,天南星15g,羚羊角屑30g
天麻60g,蝉蜕15g,阿胶30g,地骨皮30g,麦冬30g,薏苡仁30g,独活60g,白鲜皮30g,羚羊角屑30g,防风30g,附子30g,人参30g,牛蒡子30g,赤芍药30g,甘草30g,桑根白皮30g
天麻,苍术,杏仁#3g,羌活,独活,防风,白鲜皮,川芎,当归,白芍药,白术,茯苓,黄芩,半夏#2．4g,麻黄2．1g,甘草1．2g
麻黄,防风#4．5g,川芎,防己,附子,人参,芍药,黄芩,甘草,桂心#3g,生姜12g,石膏18g,杏仁9g,竹沥60ml,羚羊角6g,生葛汁30ml
菖蒲,秦艽,桂心,当归,禹余粮,人参,附子,黄芩,甘草,远志,防风#30g,龙骨,赤石脂,茯苓,芍药,川芎,防己#60g
朱砂30g,麝香15g,雄黄30g,天南星30g,禹白附30g,母丁香30g,藿香30g,白花蛇60g,桂心30g,防风30g,蝉蜕30g,川芎30g,蔓荆子30g,天麻30g,"白僵蚕
30g",麻黄30g,川乌头30g
牛黄8g,全蝎30g,僵蚕log,珍珠log,麝香4g,朱砂log,雄黄log,天麻20g,钩藤log,防风20g,琥珀6g,胆南星log,禹白附log,半夏log,天竺黄log,冰片4g,薄荷10g,甘草40g
羌活30g,乌梢蛇肉60g,天麻30g,防风30g,禹白附30g,藁本30g,麻黄30g,白芷30g,白僵蚕30g,天南星30g,川芎30g,细辛30g,附子30g,桂心30g,当归30g,桑螵蛸15g,干蝎30g,晚蚕蛾15g
附子30g,酸枣仁15g,防风15g,羚羊角屑15g,人参22．5g,桂心15g,羌活15g,甘菊花7．5g,蔓荆子15g,白鲜皮15g,茯神22．5g,山药22．5g,黄芩15g,龙齿30g,川芎15g,天麻15g,黄芪15g,枳壳15g
麻黄2．1g,陈皮,乌药,僵蚕,川芎,枳壳,桔梗,白芷,干姜,防风,羌活,天麻#2．4g,当归,续断,威灵仙,乳香,没药#3g,甘草1．8g,麝香少许
天麻60g,乌梢蛇60g,白附子30g,白僵蚕30g,防风30g,麻黄60g,甘菊花45g,白鲜皮30g,藁本30g,羌活30g,独活30g,细辛30g,阿胶30g,干蝎30g,当归30g,桂心30g,白茯苓30g,干姜15g,甘草15g
天雄30g,天南星15g,禹白附15g,半夏15g,天麻15g,干蝎15g,羌活15g,白花蛇肉15g,川芎15g,白僵蚕15g,桂心15g,防风15g,白鲜皮15g,甘菊花15g,木香15g,巴豆7．5g,朱砂7．5g,雄黄7．5g,麝香7．5g
牛黄9g,茯苓27g,天麻27g,川芎27g,天竺黄36g,胆星27g,白附27g,全蝎27g,蝉蜕27g,防风36g,钩尖27g,雄黄18g,朱砂18g,僵蚕27g,人参18g,珍珠12g,琥珀24g,大梅2．5g,麝香2．5g
胆南星105g,防风105g,羌活105g,茯苓60g,僵蚕60g,甘草60g,天竺黄60g,陈皮60g,麻黄75g,钩藤75g,薄荷75g,天麻90g,猪牙皂75g,全蝎120g,琥珀60g,牛黄12g,冰片6g,朱砂48g,麝香12g
天雄,附子,草乌头#45g,骨碎补90g,白胶香6g,川乌头36g,防风,天南星,锡蔺脂,萆薢,禹白附,自然铜,,胡芦巴,补骨脂,白僵蚕,五灵脂,赤小豆,糯米,"乳香
没药(别研)#30g"
白术,川芎#4．5g,南星,半夏,芍药,茯苓,天麻#3g,当归,生地黄,熟地黄,牛膝,酸枣仁,黄芩,陈皮#2．4g,羌活,防风,官桂#1.8g,红花,炙甘草#1．2g,黄柏1g
茯苓60g,法半夏60g,天麻60g,胆星36g,僵蚕36g,全蝎30个,白附子30g,钩藤36g,薄荷36g,防风36g,羌活25g,猪苓30g,厚朴30g,前胡25g,白术30g,黄芩25g,黄连225g,藿香25g,砂仁25g,甘草60g
当归,远志肉,川芎,酸枣仁,白术,赤芍药,香附子,朱砂,熟地黄,羌活,防风#6g,茯神7．5g,半夏9g,全蝎,麦冬,人参,牛膝,天麻#3g,甘草2．7g,陈皮,白芷#4．5g
川贝母,陈皮#12g,羌活,生地,木通,大青叶,荆芥穗,桔梗,前胡,山川柳,赤芍,制南星,玄参#9g,薄荷6g,钩藤,制半夏,枳壳#9g,葛根,天麻,防风,甘草,炒牛蒡子#6g
牛黄,珍珠,麝香#37．5g,朱砂,龙齿,犀角,琥珀#6g,天冬,人参,茯苓#12g,水银37．5g,麦冬12g,防风,黄芩,知母,龙胆草,石菖蒲,白芍药,全蝎,甘草#15g,蜂房9g,金箔,银箔#70片
乌犀角屑30g,羚羊角屑60g,天南星30g,天雄30g,天麻60g,乌梢蛇60g,桂心30g,白僵蚕30g,干蝎30g,防风60g,麻黄60g,川芎30g,独活30g,干姜30g,川乌头30g,白术30g,当归30g,白芷30g,细辛30g,牛膝30g,槟榔30g,青陈皮30g,禹白附30g,桑螵蛸30g,阿胶30g,牛黄7．5g,麝香7．5g
白花蛇,乌梢蛇,威灵仙,两头尖,草乌,天麻,全蝎,首乌,龟版,麻黄,贯仲,炙草,羌活,官桂,藿香,乌药,黄连,熟地,大黄,木香,沉香#60g,细辛,赤芍,没药,丁香,乳香,僵蚕,天南星,青皮,骨碎补,白豆蔻,安息香,黑附子,黄芩,茯苓,香附,玄参,白术#30g,防风60g,葛根,虎胫骨,当归#45g,血竭21g,地龙,犀角,麝香,松脂#15g,牛黄,片脑#4.5g,人参90g
蕲蛇肉600g,母丁香300g,玄参600g,熟地600g,青皮300g,何首乌600g,黄芪600g,竹节香附600g,大黄600g,骨碎补300g,红曲150g,细辛300g,香附300g,三七150g,豆蔻仁300g,川芎600g,甘草600g,黄连600g,葛根450g,麻黄600g,檀香150g,天竺黄300g,地龙肉150g,乳香300g,防风600g,片姜黄75g,茯苓300g,桑寄生600g,藿香600g,赤芍300g,全蝎450g,川附子300g,萆薢600g,沉香300g,天麻600g,草豆蔻600g,没药300g,当归300g,建神曲1．2kg,虎骨300g,穿山甲300g,白术300g,肉桂600,白芷600g,羌活600g,人参600g,毛陈皮1．2kg,僵蚕300g,龟版300g,于术240g,血竭225g,威灵仙450g,乌药300g,油松节300g
真水安息120g,人参60g,真蕲蛇120g,当归,川芎,川连,羌活,防风,玄参,藿香,白芷,茯苓,麻黄,天麻,川萆薢　片子姜黄,甘草,肉桂,白蔻仁,首乌,料豆西琥珀(研),黄芪,大黄,草蔻仁,雄鼠粪,熟地#60g,穿山甲60g,全蝎尾,灵仙,葛根,桑寄生#75g,北细辛,赤芍,乌药,青皮,于术,僵蚕,乳香,没药,朱砂,骨碎补,香附　天竺黄,制附片,生龟版,沉香,母丁香,胆星#30g,红花24g,犀角尖24g,厚朴,地龙,松香#15g,广木香12g,梅花冰片,犀牛黄#7．5g,血竭2．5g,虎胫骨1对
马钱子,两头尖,石菖蒲,五灵脂,骨碎补,穿山甲,淮生地,金钗草,白芷梢,赤芍药,金银花,真五加皮,吴茱萸,牡丹皮,威灵仙,刘寄奴,猪牙皂荚,甘松,山柰,紫苏,蛇床子,良姜,艾叶,厚朴,三棱,降香,苍术,羌活　红花,苏木,桃仁,当归尾,防风,麻黄,草乌　乌药,甘草,牛膝,藁本,汉防己,枳壳,"白蔹
荆芥",续断,巴豆,猪苓,泽泻,花椒,花椒,干姜,南星,半夏,槟榔,姜黄,干漆,香附,藿香　前胡,蓬术,茵陈,巴戟,石斛,常山,独活,风藤,黄连,山栀,连翘,黄柏#30g,蒜头2．5kg,葱2．5kg,千里光草5kg,生姜2．5kg,广木香,大川乌,北细辛,大茴香,小茴香,自然铜,面蒲黄,小茨菇,明天麻,官桂,僵蚕,玄胡,大黄,乳香,没药,全蝎,牙皂,雄黄#90g,嫩白上好松香30kg,好窑煤25kg
羌活,防风#15g,大豆50g
琥珀,防风#3g,朱砂1．5g
南星6g,防风6g,甘草3g
南星,防风#7．5g,蜈蚣2条,江鳔9g
天南星60g,生姜30g,防风60g,甘草30g
防风,地榆,紫花地丁,马齿苋#15g
防风,生南星#120g,生半夏,黄芩,生甘草#60g
羌活,独活,防风,地榆#3g,杏仁7枚
胆星,防风,白附子,蝉蜕,薄荷,甘草
南星350g,防风120g,独活,附子,全蝎,甘草#60g
南星22．5g,木香,防风,甘草#7．5g,僵蚕,蝎梢#15g
桂心22．5g,升麻,防风,麻黄#30g,川芎,羚羊角#45g
羚羊角30g,犀角22．5g,羌活,防风#45g,薏苡仁,秦艽#60g
羚羊角,荆芥穗,羌活,熟地黄#30g,防风60g,黑豆300g
防风45g,枯梗5g,嘉蚕,蝉蜕,茯神#45g,甘草15g
薏苡仁30g,当归30g,秦艽30g,防风30g,羌活,酸枣仁30g
胆星30g,半夏,白附#15g,天竺黄9g,天麻,防风#6g,朱砂3g
蕲蛇120g,羌活,归身,天麻,秦艽,五加皮#60g,防风30g
草乌,麻黄,雄黄,明鳔,白附子,防风#6g,桑螵蛸3g
荆芥穗120g,细辛,川芎,白僵蚕#30g,天麻459,羌活,防风,蒺藜子#60g
当归,地黄,芍药,川芎,藁本,防风,白芷#30g,细辛15g
秦艽60g,竹沥100ml,石膏90g,白茯苓,冰片#45g,玄参,防风#30g,生铁10kg
天南星,天麻,禹白附#3g,巴豆霜17个,全蝎3g,滑石7．5g,防风,半夏#3g
羌活,独活,防风,天麻,山栀子,大黄,甘草#30g,滑石60g
羚羊角屑30g,桂心30g,附子30g,羌活30g,防风22．5g,酸枣仁30g,桑根白皮60g,天蓼木30g
天雄,沉香,防风,南星,薄荷叶,地龙,木香,全蝎#等分
茯神60g,人参,麦冬,龙齿,防风,云母粉#45g,犀角黄芩,薏苡仁#60g
细辛,防风,川乌,薄荷,草乌,川芎,白芷,苍术#30g,雄黄12g
秦艽6g,人参4．5g,防风4．5g,当归9g,熟地9g,白芍4．5g,川芎3g,黄芪9g,炙甘草4．5g
升麻,干葛,炙甘草,芍药,人参#15g,秦艽,白芷,防风,桂枝#9g
干葛,防风,赤芍,细辛,羌活,桔梗,甘草,肉桂,白芷#9g
石菖蒲,远志#30g,白茯苓,人参#45g,防风,羚羊角屑#22．5g,铁粉,朱砂#30g,金箔50片
菖蒲,远志,木通,白茯苓,人参,石决明,当归,防风,肉桂#30g
羚羊角屑15g,防风15g,羌活15g,牛黄7．5g,朱砂15g,天麻15g,白附子15g,蝎梢7．5g,麝香7．5g
羚羊角屑22．5g,薏苡仁60g,桂心22．5g,牛膝22．5g,防风22．5g,附子30g,炙甘草15g,黄芪30g,生地黄30g
黄牛胆6g,羌活,独活,防风,天麻,人参,荆芥穗,川芎,细辛#3g
当归,生地,川芎,赤芍,荆芥,防风,甘草,红花,苏木
羌活,防风,当归,川芎,白芍,桂枝,黄芪,天麻,秦艽#9g
酸枣仁30g,羚羊角屑30g,丹参30g,防风30g,汉防己30g,甘菊花30g,麻黄30g,羌活30g,石膏60g
天麻,直僵蚕,南星#6g,麝香少许,赤蜈蚣1条,禹白附,防风,朱砂,全蝎#3g
朱砂,龙齿,牛黄#3g,铁粉,琥珀,人参,茯苓,防风#6g,全蝎7个
防风,南星,枳实,茯苓,羌活#3g,白术,半夏#4．5g,炙甘草1.5g,陈皮4．5g,生姜5片
北细辛,川乌,草乌,防风,白芷,川芎,薄荷,苍术#3g,南星,雄黄#1．5g
当归15g,川芎4．5g,熟地15g,川断9g,丹皮6g,秦艽3g,防风3g,生黄芪6g,白芍4．5g,桑寄生6g
当归6g,白芍,肉桂#3g,蜜炙黄芪4．5g,熟地6～9g,秦艽,防风,木瓜,阿胶#3g,白术4．5g
防风15g,禹白附15g,枯矾15g,天麻15g,净全蝎7．5g,木香7．5g,南星4.5g,半夏90g,猪牙皂15g,僵蚕15g
乌梢蛇头,蛇黄,白僵蚕,防风,天麻#30g,五灵脂15g,代赭石15g,全蝎3g,麝香0.3g,朱砂3g
防风3g,荆芥1．5g,薄荷2g,僵蚕1，5g,天麻3g,白芷3g,麻黄3g,茯苓3g,当归身3g,甘草1．5g
黄芪,茯神,甘草,天南星,白扁豆,防风,禹白附,肉桂,山药,白芍药#等分
炙甘草,黄芩#6g,防风4．5g,生姜15g,人参,川芎,芍药,麻黄,木防己#3g,大附子6g
琥珀45g,人参45g,独活45g,黄芪90g,防风45g,羚羊角45g,赤芍45g,川芎24g,麦冬90g,炙甘草45g
龙胆草,防风,青黛,钩藤,浮黄连,牛黄,甘草,朱砂#15g,薄荷叶7．5g,麝香1．5g
人参,当归,白术#9g,生地,天麻#6g,麦冬3g,黄芩2．4g,荆芥,防风#0.9g,陈皮,甘草#1．2g
全蝎14个,麻黄,花蛇肉,乌梢蛇肉,直僵蚕#7．5g,白附子,人参,天麻,防风#3g,乳香1．5g,麝香0．3g
防风,天麻,白僵蚕,禹白附#30g,全蝎,木香#15g,朱砂,猪牙皂荚30g,白矾15g,半夏,南星90g
柴胡,乌药,秦艽,甘草,酒蒸大黄#3g,白芍30g,茯苓9g,当归9g,天麻,防风#1g,天花粉6g
羚羊角屑30g,赤茯苓22．5g,川芎22．5g,当归22．5g,酸枣仁22．5g,肉桂45g,细辛15g,防风22．5g,羌活30g,茵芋30g,丹参30g
全蝎,蝉蜕,牛胆星,防风,天麻,白附子#6g,羌活,薄荷,细辛,人参#3g,皂荚4．5g
天麻,白附子,当归,川乌头,宣木瓜,防风#15g,全蝎7个,乳香,没药,花椒,肉桂#7．5g
槐角120g,当归,川乌,玄参#60g,麻黄,茯苓,防风,薄荷,甘草#30g,猪牙皂荚15g,冰片1．5g
熟地黄30g,人参22．5g,茯神22．5g,龙齿30g,羌活22．5g,桂心15g,黄芪30g,白薇30g,远志22．5g,防风15g,甘草15g
天浆子7枚,蝉蜕14枚,牛黄3g,青黛3g,地龙3条,蟾酥3g,朱砂15g,防风15g,蚕纸1张,麝香3g,乌梢蛇15g
麝香,乳香,青黛#15g,防风,朱砂,龙胆#9g,甘草120g,冰片,腻粉#0．9g,天南星,墨#1．5g
紫背干浮萍草120g,麻黄60g,防风,天麻#30g,没药,朱砂#60g,安息香,乳香,麝香#30g,血竭90g,槐胶45g
枳壳45g,防风30g,人参45g,羌活45g,羚羊角45g,升麻60g,甘菊花30g,葛根30g,薏苡仁30g,桂30g,黄连60g,熟地黄60g
龙骨9g,干姜4．5g,细辛4．5g,白术3g,茯神9g,人参,远志,甘草,桂心,独活#6g,酸枣仁9g,防风6g
