朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
唐•蔺道人,散,内、外,7016.0,至真散,仙授理伤续断秘方,天南星(炮)  防风各等分,等分,祛风解痉。,止痉(破伤风),破伤风，头痛，角弓反张。,上为末。,破伤风，将药敷贴疮口，以温酒调服3s5如牙关紧急，垂死而心头微温者，以童便调服6g。,,n,2.0,,,
宋•窦材撰于1146年(托名扁鹊所传),煮散,内,11521.0,定风散,《扁鹊心书·神方》,川乌(炮)60g  防风60g  雄黄30g,60g,祛风定痉。,止痉(破伤风),破伤风及牙槽等风。牙关紧急，项背强直，角弓反张。,上为末。,"每次12g，水煎和滓服，一日三次。汗
出愈。若——、二日服此可治，五、七日者难治，须急灸
脐下三百壮。",,y,3.0,,,
元•王好古,煮散,内,8116.0,防风当归散,《此事难知》)  又名防风当归汤(《医学正传》卷五,防风  当归  川芎  地黄各30g,30g,养血祛风。,止痉,发汗过多，发热，头面摇。卒口噤，背反张；亦治产后痉病。,"上锉。每次30g，用水450m1，煮至
300ml，去滓。",温服。,,y,4.0,,,
金,煮散,内,9836.0,羌活汤,《素问病机气宜保命集》卷中)  又名小羌活汤(《医学正传》卷六,羌活  独活  防风  地榆各30g,30g,祛风解痉。,止痉(破伤风),破伤风，服左龙丸利后搐痉不已。,上哎咀。每次15g，用水225ml，煎至150ml，去滓。,温服。,,y,4.0,,,
宋,煮散,内,1485.0,大醒风汤,《太平惠民和剂局方》卷一淳祜新添方,南星(生)240g  防风(生)120g  独活(生)  附子(生，去皮、脐)  全蝎(微炒)  甘草(生)各60g,120g,祛风化痰。,中风(中经),中风痰厥，涎潮昏运，手足搐搦，半身不遂；历节痛风，筋脉挛急。,上畋咀。每次12g，用水600ml，加生姜20片，煎至480m1，去滓。,温服，不拘时候，一日二次。,生,y,6.0,,,
明,丸,内,1814.0,已风丹,《普济方》卷三七四引《医方妙选》,天竺黄30g(研)  防风30g  钩藤30g  白僵蚕15g  干全蝎15g  白附子15g,30g,祛风退惊。,止痉(小儿惊风),小儿惊风，拘挛抽搐。,上为细末，炼蜜为丸，如鸡头子大。,每次1～2丸，点麝香、荆芥汤化服。,,y,6.0,,,
明•陈实功,散,内,4368.0,玉真散,《外科正宗》卷四,南星  防风  白芷  天麻  羌活  禹白附各等分,等分,祛风解痉止痛。,止痉(破伤风),破伤风，牙关紧急，角弓反张，甚则咬牙缩舌；疯犬咬伤。外治跌打损伤，金疮出血。,上为细末。,每次6g，用热酒适量调服，更敷患处。若牙关紧急，腰背反张者，每次9g，用热童便调用，虽内有瘀血亦愈；至于昏死，心腹尚温者，连进二服，亦可保全；若治疯犬咬伤，先将疮口洗净，搽伤处。,,n,6.0,,本方由《理伤续断方》至真散发展而来，是临床治疗破伤风的常用方剂。方中白附子、天南星祛风化痰，解痉止痛为君；羌活、防风、白芷疏散经络中之风邪为臣；天麻熄风解痉为佐；以热酒或童便为使，有通经络，行气血之功。,
明•张三锡纂,汤,内,7195.0,当归补血汤,《医学六要·治法》卷七,黄芪90g  当归15g(jiu浸)  防风　羌活各3g  荆芥穗4．5g  甘草1．5g,3g,益气养血，祛风解痉。,止痉(血虚),出血过多，筋无血养，四肢挛急，口噤如？（病旁加至）。,水煎，去滓。,温服。,,y,6.0,,,
明,丸,内,7809.0,冰梅丸,《本草纲目》卷二十九,青梅20枚(yan360g腌五日，取M汁)明矾90g  桔梗  白芷  防风各30g  猪牙皂荚30条,30g,祛风豁痰，利咽通窍。,中风,喉痹乳蛾，中风痰厥，牙关不开。,上为细末，拌汁，和梅入瓶收之。,每用l枚，噙咽津液；若中风牙关不开者，用此药擦之。,,y,6.0,,,
宋,丸,内,9547.0,皂荚丸,《太平圣惠方》卷二十三,皂荚10挺(去黑皮，涂酥炙微黄，去子)  羌活60g  防风90g(去芦头)  桂心90g  附子60g  干薄荷120g,90g,祛风化痰，温通经络。,中风(中经),中风偏枯不遂，行立艰难。,上为末，炼蜜为丸，如梧桐子大。,每次20丸，以温酒或薄荷酒送服。,去芦头,y,6.0,,,
明•秦景明,汤,内,9864.0,羌防四物汤,《症因脉治》卷一)  又名羌活六合汤(《医林纂要》卷八),羌活  防风  当归  生地  川芎  白芍药,wbz,养血祛风。,中风(中经),风中于左，邪入厥阴，口眼?斜。,水煎，去滓。,温服。,,n,6.0,,, [加减]  身痛，加秦艽、钩藤、柴胡。
宋,煮散,内,10357.0,附子汤,《三因极一病证方论》卷二)又名附子散(《普济方》卷八十八引《医方大成》), 附子(炮，去皮、脐)  桂心各15g  细辛  防风  人参  干姜(炮)各18g,18g,温阳散寒，祛风通络。,中风(中脏),五脏中风寒，手足不仁，口面喁斜，昏晕失音，眼目咽动，牙车紧急，不得转动。,上锉散。每次12g，用水220ml，加生姜5片、大枣1枚，煎150ml，去滓。或为末，每次6g，酒调。,食前服。,,y,6.0,,,
