朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
清•赵学敏（1759）,其它,外,1680.0,千里鞋,《串雅外编》卷四,草乌  细辛  防风各等分,等分,消肿止痛。,胜湿止痛,远行足肿。,上为末。,掺鞋底内。如草鞋，以水微湿掺之。,,n,3.0,,,
朝鲜　明•金礼蒙（1443）,丸,内,1893.0,小灵脂丸,《施圆端效方》引杜巨川方，见《医方类聚》卷二十四,防风30g  五灵脂  川乌头(炮，去皮)各60g,30g ,祛风散寒，活血化瘀。,胜湿止痛,风寒湿邪乘虚侵入经络，肢体疼痛，痹不能行。,上为细末，酒糊为丸，如梧桐子大。,每次7丸，食前酒送服，一日二次。,,y,3.0,,,
宋,丸,内,4734.0,四生丸,《圣济总录》卷一八六,萆薢  防风  狗脊(去毛)  乌头(去皮、脐，生用)各等分,等分,温经散寒，祛风除湿。,胜湿止痛,风寒湿邪外浸所致的筋骨疼痛。,"先以河水浸乌头七日七夜，切片，每乌
头30g即用盐15g同炒黄，次与诸药同为细末，用米
醋面糊为丸，如梧桐子大。",每日服10丸，渐加至30丸，空心用温酒或盐汤送服。,,n,4.0,,,
汉,汤,内,8098.0,防己地黄汤,《金匮要略》卷上,防己9g  桂枝10g  防风9g  甘草10g,9g,滋阴凉血，祛风化痰。,胜湿止痛,癫狂病，痹证。,上药以酒200m1，渍之一宿，绞取汁；生地黄90g(哎咀)，铜器盛，蒸熟，绞取汁，和匀。,温服，一日二次。,,y,4.0,,,
宋,散,内,3735.0,乌鸡散,《圣济总录》卷八,乌雌鸡肉(炙干)75g  桂(去粗皮)52．5g  细辛(去苗叶)90g  防风(去叉，锉)7．5g　干姜(炮)75g,7.5g,养血祛风，温经通络。,胜湿止痛,中风。阴血亏虚，风寒凝滞经络，手足不随，口面喁僻。,上为散。,每次1．5g，加至3g，食后良久，温酒调服，日二夜一。未觉效，稍增至4g，以效为度。,去叉，锉,y,5.0,,,
宋,煮散,内,10348.0,附子汤,《圣济总录》卷十,附子(炮裂，去皮、脐)30g  黄芪120g　甘草(炙，锉)15g  麻黄(去根、节，煎，掠去沫，焙)150g  防风(去叉)15g,15g,温阳益气，祛风止痛。,胜湿止痛,历节风疼痛，日夜不可忍。,上锉，如麻豆大。每次12g，用水225ml，加大枣2枚(去核)，生姜log(劈碎)，同煎至150ml，去滓。,温服，日二次，夜一次。,去叉,y,5.0,,,
朝鲜　明•金礼蒙（1443）,煮散,内,4449.0,术附防风汤,《医方类聚》卷九十八引《施圆端效方》,白术  附子(熟)  甘草  防风各30g　桂90g  茯苓15g,30g,温阳化湿，祛风止痛。,胜湿止痛,脾肾阳衰，风寒湿邪外侵，肢节痛重，不可转侧，自汗欲衣，或身微肿。,上为粗末。每次15g，用水230m1，煎至140m1，去滓。,温服，日三次，夜一次。,,y,6.0,,,
宋,散,内,4906.0,仙灵脾散 ,《大平圣惠方》卷六十九,淫羊藿60g  虎胫骨60g(涂酥，炙令黄)  附子60g(炮裂，去皮、脐)  防风60g  踯躅花60g(醋拌炒令干)  牛膝60g,60g,补肾壮阳，祛风止痛。,胜湿止痛,妇人血风，身体骨节疼痛不止。,上为细散。,每次3g，以温酒调服，不拘时候。,,y,6.0,,,
宋,丸,内,5532.0,白芥子丸,《太平圣惠方》卷三,白芥子30g  防风22．5g  安息香30g  沉香15g  补骨脂30g(炒)  槟榔15g,22．5g,祛风化痰，益肾和络,胜湿止痛,风痰阻络，筋脉拘挛，骨髓疼痛。,上为细末，炼蜜为丸，如梧桐子大。,每次20丸，温酒送服，不拘时候。,,y,6.0,,,
宋,煮散,内,9834.0,羌活汤,《圣济总录》卷八十五)又名羌活饮(原书同卷),羌活  肉桂各30g  附子(炮裂，去皮、脐)  当归(切，焙)  防风(去叉)  牛膝(jiu浸，切，焙)各22g,22g,祛风湿，强腰膝。,胜湿止痛,风湿腰痛，腰脚痹痛，行步艰难。,上哎咀。每次6g，用水150ml，煎至105m1，去滓。,温服，不拘时候。,去叉,y,6.0,,,
