防风  白芷各4．5g
羌活  防风  桔梗  白附子  枳壳(去瓤，麸炒)  白蒺藜各15g  蔓荆实9g  皂荚250g(用新汲水浸一宿，揉取汁，以绢滤入铛中，投少许面，慢火煎成膏)
羌活  苍术各8g  川芎  白茯苓　防风  枳壳  桔梗各5g  甘草2g
酒黄芩6g  白芷4．5g  羌活  防风  柴胡梢各3g  川芎3．6g  荆芥2．4g  甘草1．5g
黄芪3．6g  白术  牡蛎  茯苓  防风  麦冬(去心)  地黄各2．4g  大枣8个
人参  当归  防风  黄芪  芍药  麦冬各60g  独活  白术  桂心各90g
羌活4．5g  防风4．5g  川芎3g  细辛1．5g  甘草3g  苍术3g(米泔浸)  香白芷3g　黄芩3g  生地3g
川芎(洗)  柴胡各30g  半夏曲  甘草(炙)  甘菊  细辛  人参  前胡  防风各15g
木乳30s(酥炙)  旋覆花15g  枳壳22g(麸炒微黄，去瓤)  石膏60g  甘菊花15g   防风15g(去芦头)  川芎15g  甘草15g(炙微赤，锉)  荆芥22g
麻黄1.2g  桂枝  甘草各0．9g　杏仁(去皮、尖)  白芷  防风各2．4g  升麻1.5g  羌活  川芎各3g
枳壳4．5g　桔梗6g  防风  茯苓各4．5g  瓜蒌仁(去油)3g  紫苏子(微炒，研)2．4g(白者不效)  甘草3g  杏仁(去皮、尖)2．18  半夏4．5g
白鲜皮12g  麻黄(去根、节)15g  白茯苓22．5g  防风  独活  杏仁(汤浸，去皮、尖、双仁，研)  当归(锉，焙)  芍药各12g  桂7．5g
川芎  芍药  牡丹皮各45g  羌活　甘菊花  防风  甘草(炙)各60g  柴胡  半夏(生jiang汁制作饼，晒干)各30g
甘菊花  黄连各4．5g  防风  荆芥  白芷各9g  红花  当归各3g  芒硝6g  白矾1．5g
川乌(炮)  草乌(炮)各15g  麻黄45g  川芎  防风  羌活各30g  地龙  雄黄各9g  全蝎10个
贝母  夏枯草  前胡  防风  苏子(炒，研)  瓜蒂霜  枳壳  丹参  陈皮各等分
细辛  川芎  防风  桔梗  白术  羌活  桑白皮(炒)  薄荷叶各30g  甘草1．5g
苍术240g(去皮)  厚朴120g(去皮) 当归(洗)  川芎  白芍药  防风  陈皮(去白)葛根  甘草各60g
羌活  防风  旋覆花  独活  川芎 细辛芽  蔓荆子  甘草  石膏
羌活  生白术  防风  炒白芍  黄芩各45g  当归90g  白芷  川芎各30g  甘草18g
山药(炒)9g  白术  茯苓各4．5g 甘草(炙)  羌活2．4g  防风  秦艽  防己  苍术各3g    
苏叶  防风  陈皮  厚朴(姜炒)  枳壳(麸炒)  煨木香  炒僵蚕  钓钩藤  生甘草
苍术  紫苏  防风  赤苓  豆豉  藿香  陈皮  厚朴(姜炒)  炙甘草
防风  荆芥穗各60g  细辛30g  草乌30g  白芷30g  全蝎22．5g  青盐15g  芒硝30g  青黛15g
细辛  甘菊花  枳壳(麸炒)  赤芍药各15g  石膏(细研，水飞)  藁本  川芎  防风各30g  甘草(炙)7．5g
藿香叶  荆芥穗  旋覆花  香白芷 石膏末(细研)  防风各15g  川乌(两头尖者，去皮、尖，生用)7．5g  天南星7．5g  川芎15z  草乌头4．5g
薄荷叶90g  硼砂15g  天花粉30g  天竺黄15g  风化消  百药煎  防风  孩儿茶各30g  桔梗218  甘草30g
川芎  细辛  防风  甘菊花  甘草　石菖蒲  青藤根  全蝎  细芽茶  藁本各30g
防风  白附子  北细辛  白茯苓  川乌  菖蒲  干姜  香白芷  川芎  甘草节各等分
白附子  香白芷  荆芥穗  石膏(煅，研)  薄荷叶  天麻  川芎  防风各15g  两头尖30g(黑心者不用，明白者佳)  苍术30g(泔浸)
黄芪  人参各3g  黄连  柴胡各2．1g  蔓荆子  当归  葛根  防风各1．5g  生甘草3g  细辛叶0．9g
菖蒲  牛蒡子  羌活  川芎  防风  漏芦  荆芥  麦冬  前胡各等分  甘草减半
犀角屑  天麻(去苗)  细辛(去叶、土)  防风(去芦头)  川芎  香白芷  羌活(去芦头)  甘菊花各30g  冰片(别研)  麝香(别研)各3g
丹参15g  露蜂房7．5g(微炙)  川升麻15g  防风15g(去芦头)  连翘15g  黄芪15g(锉)  川大黄15g(锉碎，微炒)  甘草15g(炙微赤，锉)  牛蒡子15g(微炒)  枳壳22．5g(麸炒)    
当归  羌活  独活  防风  川芎  丹参  青皮  香附  乌药  川断
黄芪  人参  桂枝  甘草  熟附子　细辛  羌活  防风  川芎  煨生姜
人参  苍术各3g  白芍药  甘草(炙)各4．5g  白芷　当归身  麻黄(去根、节)各6g  防风  葛根各9g  新升麻12g
竹叶12g  葛根9g  防风  桔梗  桂枝  人参  甘草各3g  附子6g(炮)  大枣3枚　生姜15g    
竹沥lOOml  麻黄2．4g  附子4．5g(炒)  防己9g  干姜4．5g(炒)  白术4．5g(炒)　葛根4．5g  甘草1．5g  防风4．5g  桂心4．5g
防风  连翘  桑根白皮(炙，锉)  牡丹皮  白头翁  黄柏(微炙)  豉(炒令黄)  独活　秦艽各30g  海藻(洗去咸，焙)90g
杜仲12g  阿胶(炙)  防风  狗脊　川芎  芍药  细辛  五加皮  萆薢各9g  杏仁(炒)3g
吴茱萸(汤洗，焙干，炒)  苍术(米泔浸一宿，切，焙)  鳖甲(去裙澜，醋炙)  防风(去叉) 人参  川芎  藿香叶  柴胡  肉豆蔻(去壳)  甘草(炙)各15g
辛夷仁  细辛  藁本  升麻  川芎　木通  防风  羌活  甘草(炙)  白芷各等分
羌活  防风  苍术  茯苓  猪苓  泽泻  茵陈  甘草  桑白皮  地骨皮各等分
玄参  桑皮  枳壳  黄连  杏仁  旋覆花  防风  黄芩  白菊  葶苈子
炙甘草2．1g  泽泻9g  瓜蒌根(酒洗)  白茯苓  黄柏(jiu炒)各15g  柴胡21g  防风  细黄芩(酒洗)  黄连(jiu炒)  羌活各30g
胡椒  花椒  川芎(炮)各6g  荆芥穗  白芷  防风  草乌  羌活  荜茇  露蜂房各15g
鸡苏叶250g  荆芥穗30g  防风30g  黄芪(生用)  生地黄  桔梗(炒)各15g  甘草  川芎  甘菊花各7．5g  脑子1．5g(别研)
蝉蜕(去土)15g  蛇蜕(炙)9g  川芎  防风  羌活  炙甘草  当归  白茯苓各30g  赤芍药90g  苍术120g  石决明(东流水煮一伏时，研极细)45g
川芎0．9g  柴胡2．1g  羌活  防风  藁本  生甘草  升麻各3g  熟甘草  酒生地黄各6g  酒黄连(炒)  酒黄芩各13．5g
桂枝2．4g  白芍4．5g  甘草1．5g 怀牛膝6g  川牛膝4．5g  当归6g  蚕沙12g  秦艽3g  防风3g  红枣5枚  生姜3片
防风2.1g  黄芩3g  薄荷1.5g  羌活1.5g  升麻1.5g  天花粉3g  桔梗3g  半夏1.5g  川芎1.5g  荆芥1.5g  甘草0.9g
防风  人参  甘草(炙)  天麻  前胡各7．5g  细辛  柴胡各4．5g  白茯苓(去黑皮)桔梗各6g  枳壳(去瓤，麸炒)7．5g  川芎9g
黄芪12g  苍术  羌活  独活  防风 升麻  葛根各9g  炙甘草6g  麻黄(不去节，冬月加)  花椒  白芷各3g
天竺黄  陈皮  茯神(去皮、木)  明天麻各30g  胆星60g  甘草  雄黄  防风各15g  麝香4．5g  朱砂15g(水飞)  枳壳(炒)15g
麻黄0．9g(不去根、节)  黑附子o．9g  羌活1．5g  苍术1．5g  防风0．6g  黄芪3g  甘草  升麻各0．6g  白芷  白僵蚕  黄柏各0．9g
当归  川芎  赤芍  生地黄  黄连　牡丹皮  栀子  防风  荆芥  薄荷  甘草
黄芩(酒洗)6g  黄连(jiu炒)6g  桔梗4．5g  甘草3g  连翘3g  牛蒡子(炒，研)  玄参各3g  大黄(酒蒸)4．5g  荆芥1g  防风1g  羌活lg  石膏l.5g
黄芪(蜜炙)  防风(去芦)  川芎  山萸肉(去核)  当归(去芦，jiu浸)  白术(炒)  肉桂(去粗皮，不见火)  甘草(炙)  人参(去芦)  五味子各30g  白茯苓45g(去皮)  熟地黄60g(洗)  肉苁蓉90g(jiu浸)
川芎  细辛  羌活  槐花  石膏  香附子  甘草(炙)各15g  荆芥  薄荷  茵陈  防风(去叉)  菊花各30g 
麻黄  白芷  细辛  荆芥穗  菊花  防风  石膏  何首乌  川芎  薄荷  干蝎  草乌头各等分
天麻  防风  细辛  藁本  川芎　香白芷  干山药  黄芪(蜜炙)  蝎梢(略炒，去毒)  当归(洗，焙)各30g  甘草16g(炙)  白附子15g(炮)
连翘  牛蒡子(另研)  玄参各3g　大黄  荆芥  防风  羌活各1g  石膏  桔梗各4．5g  甘草3g  黄芩(jiu炒)7．5g  黄连(jiu炒)4．5g
薄荷叶420g  柿霜150g  桔梗135g  甘草105g  川芎84g  百药煎15g  防风48g　砂仁13．5g  青黛9g  冰片  元明粉  白硼砂各6g
人参、白术、茯苓、当归、白芍、熟地黄、川芎、炙甘草、黄芪  附子  肉桂  防风
桑白皮  地骨皮  桔梗  杏仁  防风  黄芩  瓜蒌仁  知母  薄荷  枳壳  陈皮  甘草各等分
桑白皮(炒)15g  紫苏  北前胡  防风  赤茯苓  黄芩  天冬(去心)  当归  连翘　桔梗  生地黄  甘草(炙)各7．5g
川芎  防风  僵蚕(去丝咀，炒)  独活(黄色如鬼眼者，去芦，洗，焙)各30g  天麻120g  桔梗(炒)90g  细辛  白附子(炒)  羌活  甘草(炙)各15g  薄荷  荆芥穗各45g
川连  甘草各3g  苏梗  牛蒡  玄参  赤芍  荆芥  连翘  黄芩  花粉  射干  防风各4.5g    
柴胡  甘草(炙)  干姜各60g  肉桂(不见火)  桔梗  防风  荆芥穗  五加皮各30g　芍药15g  麻黄(去节)  陈皮(去白)各45g  黄芪(蜜水浸一宿，炙)7．5g
半夏(jiang汁炒)  杏仁(去皮、尖)  川羌活  藁本  川芎  防风  白茯苓  甘草  白芷　麻黄  广陈皮  桂枝各等分
黄芪  当归各9g  白术  广陈皮　川升麻各2．4g  人参  柴胡  甘草各1．8g  桂枝  防风  木通各3g  木瓜2．4g
防风  荆芥  羌活  前胡  升麻  干葛  赤芍  桔梗  川芎  白芷  牛蒡子  甘草
通草  山栀  黄连  生地  甘草  滑石  荆芥  防风  当归  芍药  大黄  紫草
 防风  羌活  独活  防己  黄芩  黄连  苍术  白术  甘草(炙)  细辛各9g  知母 川芎  地黄各30g
川芎30g  当归22．5g  羌活  旋覆花  华阳细辛  蔓荆子  防风  石膏  藁本  荆芥穗  半夏曲  生地黄  甘草各15g
乳香(炙)60g  白芷60g  柴胡60g　没药(炙)60g  川芎60g  黄连45g  黄芩45g  防风45g  薄荷45g  菊花45g  生栀子75g  羌活30g  甘草15g
半夏(汤洗去滑)  干葛  细辛  白术  茯苓  桂心  防风  干姜(炮)  黄芩  小草　甘草(炙)  柴胡  麦冬(去心)各22．5g
川芎  连翘  羌活  柴胡  防风  黄芩  木贼(去节)  荆芥穗  甘菊花  旋覆花各15g  地骨皮30g  甘草(炙，锉)  石膏(捣研)各60g
川芎30g(洗)  当归22．5g(薄切，焙干)  羌活  旋覆花  细辛(华阴者，去叶)  蔓荆子(拣)  石膏(生)  藁本  荆芥穗  半夏曲(炒)  防风  熟地黄(酒洒，九蒸九晒，焙干)  甘草各15g(炙)
川芎  甘菊花(择)各30g  羌活9g　防风0．9g  细辛  白僵蚕(炒)各90g  草决明  旋覆花(择)  蝉蜕(洗，焙)各3g  蜜蒙花(择)  天麻  荆芥穗  甘草(炙)各15g
黄芩  柴胡各3g  桔梗  川芎  防风  羌活  枳壳各2．4g  甘草0．9g  连翘  射干  白芷  黄连各2．1g  荆芥3g
连翘(研碎)  防风  黄连  陈皮  芍药  当归  独活  白蒺藜(炒，去刺)  荆芥  茯苓　 黄芩  甘草  牛蒡子(炒，研)各等分
当归  肉桂  吴茱萸  丹皮  半夏(制)  麦冬各6g  防风  细辛  藁本  千姜  茯苓  木香  炙甘草各3g
前胡  羌活  麻黄(去根、节)  白茯苓  川芎  黄芩  甘草(槛)  蔓荆子(去白、皮)　枳壳(去瓤，麸炒)  细辛  石膏(别研)  菊花(去梗)  防风各30g
藁本  香白芷  桂枝各o．98  苍术  升麻各1．5g  当归身1．8g  草豆蔻仁3g  羌活4.5g  羊胫骨灰6g  麻黄(去根、节)  防风各9g　柴胡15g  细辛少许
当归(jiu浸)  川芎  地黄(jiu浸)  芍药  甘菊  龙胆草(jiu浸)  防风  防己  炙甘草　香附(童便浸)  决明子  密蒙花  木贼
归尾  大黄  黄芩  知母  桔梗  茺蔚子  芒硝  车前子  防风  赤芍药  栀子  连翘  薄荷各等分
天麻  草乌(汤泡去皮)  川芎  细辛  苍术  甘草  川乌(汤泡去皮)  薄荷  甘松  防风  白芷  白附子(去皮)各五钱  雄黄  全蝎各9g
 陈皮180g  枳壳(炒)180g  柴胡180g  香附(醋炙)180g  葛根180g  杏仁(去皮，炒)180g  川芎180g  苍术(炒)180g  白芷180g 羌活300g  苏叶360g  防风240g  乌药90g 甘草90g
甘草  天麻  芥  羌活  防风  薄荷  黄芩  麻黄  干蝎  僵蚕  白芷  竹叶  附子 细辛
防风3g  黄芩(jiu炒)4．5g  人参  白及各3g  麦冬(去心)6g  生甘草1．5g  知母3g  炒白芍3g  怀生地(酒洗)3g  黄柏(jiu炒)3g  黄芪3g  黄连(jiu炒)3g  当归头  百合各3g
天南星(汤泡七次)  半夏(汤泡七次) 防风(去芦)  干姜(泡洗)  甘草(炙)  细辛  禹白附(生)  芒硝(别研)  太阴石(别研)  川芎  白僵蚕(直者，炒去丝)  陈皮(去白)  川乌头(生，去皮、脐)  薄荷叶各30g
人参  黄芪(jiu炒)  白术  当归  川芎  白芍  茯苓各3g  甘草(炙)  桂心  防己　防风  乌头(炮)各1．5g  细辛18  生姜3片  红枣2枚
连翘  瞿麦  滑石  车前子  牛蒡子  赤芍  栀子  木通  当归  防风各1．2g  柴胡  黄芩  荆芥各3．6g  蝉蜕1．5g  甘草4．8g
当归须  白术  半夏  甘草  丹皮  赤茯苓  防风  香附  陈皮  赤芍  人参  川芎  黄芪 生地  没药
天麻30g  踯躅花30g  独活30g　麻黄60g(去根节)  附子30g(炮裂，去皮、脐)　白附子30g(炮裂)  晚蚕蛾30g  乌梢蛇肉60g(jiu浸，炙令黄)  防风30g(去芦头)  道人头30g　白蒺藜30g(微炒、去刺)  麝香15g(细研)  桂心30g  当归30g  川乌头30g(炮裂，去皮、脐)
牛黄15g(研入)  白薇15g  人参60g(去芦头)  麦冬60g(去心，焙)  茯神  远志(去心)  熟地黄  朱砂(细研，水飞过)  天竺黄(细研)  防风(去芦头)  独活  甘草(炙微赤，锉)  龙齿(细研)各30g  冰片30g(细研) 麝香7．5g(细研)
牙皂9g  广藿香  白芷　广皮  贯仲  薄荷  生人中黄  木香  橘梗  半夏各6g　明雄黄  明朱砂各7．5g  防风3g  细辛9g  枯矾4．5g
生南星30g  知母  贝母(去心，炒)  生地黄  阿胶(炒)  川芎  桑白皮(炒)  甘草(炙)各90g  防风  射干  桔梗  天冬(去心)　脑荷  杏仁(不去皮)  半夏(制)各15g
羌活15g  防风9g  升麻3g  葛根6g  白术3g  苍术9g  当归身9g  人参6g  甘草15g  苦参(jiu浸)6g  黄芩3g(炒)  知母9g(酒洗)　茵陈15g(jiu炒)  猪苓9g  泽泻9g
荆芥穗  羚羊角(镑)  酸枣仁(微炒)  生地黄  枳壳(麸炒，去瓤)  人参  鳖甲(醋炙，去裙，炙黄)  肉桂  白术  柴胡各22．5g  甘草(锉，煎)  川芎  赤芍药  牡丹皮  当归  防风各150g
大豆  杏仁各15g  清酒30m1  麻黄  防风  木防己，猪苓各12g  泽泻  黄芪  乌头各9g  生姜218  半夏18g  茯苓  白术各15g　甘遂  甘草各6g    
川芎  细辛  苦参  地骨皮  菖蒲  何首乌  蔓荆子  薄荷叶  杜蒺藜  牛蒡子　荆芥穗  蚵蚾草  威灵仙  防风各15g  天麻30g  甘草60g(炙)
天南星(腊月牛胆匮者)22．5g  白芷45g  麻黄(去根节)30g  防风45g  羌活  独活  川芎  天麻  白芍药  桔梗(锉，炒)  细辛  白僵蚕(炒)各15g  甘草(炙)11g  干姜(炮)7．5g  冰片(研)3g  麝香(研)7．5g
花椒0．3g  防风3g  荆芥3g  甘草梢1．5g  红花0．75g  桃仁  麻仁  杏仁各3g  升麻4．5g  柴胡2．1g  当归3g  熟地6g  知母  黄柏  石膏各3g  细辛0．3g
桔梗  玄参  白芷  防风  赤芍  川芎  前胡  独活  连翘  荆芥  甘草各1．5g  牵牛  山豆根  黄芩  射干  生地各15g
防风  荆芥  连翘  柴胡  黄芩  川芎  羌活  桔梗  蓝叶  射干  白芷  牛蒡子  黄连  甘草  青木香  金银花
附子(炮裂，去皮、脐)  天麻  虎骨(酥炙)  天南星(炮)  狗脊(去毛)  白茯苓(去黑皮)  阿胶(炙燥)  狼毒(醋炙，锉，炒)  白僵蚕(直者，微炒)  海桐皮(锉)  牡蛎(熬)  天雄(炮裂，去皮、脐)  防风  吴茱萸(汤洗焙干，炒)  羌活  独活各30g
人参  白术  茯苓  干葛  紫苏  半夏  荆芥穗  桔梗  杏仁(去皮、尖)  麻黄(去节)   防风  陈皮  甘草  桑白皮  枳壳  前胡各等分
麻黄根  牡蛎  浮小麦  黄芪  人参 麦冬  川芎  赤芍  生地  当归  甘草  陈皮　香附  防风  丹皮  葱白 
党参  银花各4．5g  甘草1．5g  当归  连翘(去心)  赤芍  花粉  瓜蒌仁  桔梗  白术各3g  陈皮  防风  川芎  青皮  厚朴  荆芥各2．1g  黄芪4．5g
胆星120g  半夏(姜、矾同煮半日)120g  陈皮(去白)60g  白茯苓(去皮)60g  枳实(去瓤，麸炒)30g  海石(火煅)30g  天花粉60g　黄芩(jiu炒)60g  黄柏(jiu炒)30g  知母(jiu炒)30g  当归(酒洗)30g  天麻(火煅)60g  白术(米泔浸，炒)60g  大黄(酒拌蒸九次)150g  甘草(生)9g  防风(去芦)60g  白附子(煨)60g
防风  川芎  当归  芍药  大黄  薄荷叶  麻黄  连翘  芒硝各15g  石膏  黄芩  桔梗各30g  滑石90g  甘草60g  荆芥  白术  栀子各7．5g
白术  川芎  防风各0.9g  甘草(炙)  荆芥各o．75g  桔梗  羌活各0．9g  芍药0．75g  柴胡0．6g  前胡  薄荷  黄芩各0．75g　山栀  知母各o．6g  滑石  石膏各0．9g  大黄1．2g  芒硝0．9g
茯苓片240g  柴胡180g  泽泻片　枳壳  苏叶  防风  扁豆  赤小豆各150g  忍冬藤  枯黄芩  鲜竹茹  花粉各120g  藿香  生甘草  香薷  麦冬各90g  双勾藤210只  鲜荷叶30片(切碎)  陈茶叶3kg
