朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
清•董西园纂（1777）,散,内,2029.0,子芩防风散,《医级》卷九,黄芩(jiu炒)  防风各等分,等分,清热祛风止血,散肝舒脾,肝经风热，以致血崩、便血及尿血、血淋。,上为细末,每次6g，食前温酒调服。,,n,2.0,,,
宋•陈自明,丸,内,8133.0,防风黄芩丸,"《校注妇人良方》卷十
    二",黄芩(炒焦)  防风各等分,等分,疏风清热,散肝舒脾,"妇人肝经风热所致的吐血、衄血、便
血、血崩、漏胎。",上为细末，酒糊为丸，如梧桐子大。, 每次30一50丸，食远或食前用米饮或温酒送服。,,n,2.0,,,
金,汤,内,8755.0,苍术汤,《兰室秘藏》卷中,防风  黄柏各3g  柴胡6g  苍术9g,3g,清热燥湿，健脾升阳。,散肝舒脾,脾气不足，湿热下注，腰腿疼痛。,上用水300m1，煎至150m1，去滓。,空心温服。,,y,4.0,,,
金,汤,内,3649.0,升阳除湿防风汤,《脾胃论》卷中又名升阳除湿汤(《嵩崖尊生》卷九,苍术(泔浸，去皮净)120g  防风6g　　白术  白茯苓  白芍药各3g,6g,祛风胜湿，健脾升阳。,散肝舒脾,湿浊中阻，清阳下陷，以致飧泄濡泻，及肠风下血。,上畋咀，除苍术另作片子。用水500ml，煮至400ml，纳诸药同煎至200m1，去滓。,空心、食前稍热服。,,y,5.0,,,
宋,散,外,8088.0,防风散,《圣济总录》卷一一八,防风30g  龙胆30g  生地黄(切，焙)60g  沉香(锉)15g  升麻15g,30g,疏风清热，凉血解毒。,散肝舒脾,口舌生疮。,上为细散。,每次6g，加盐少许，沸汤调匀，揩齿含 咽便睡。,,y,5.0,,,
宋,煮散,内,11443.0,泻黄散,《小儿药证直诀》卷下又名泻脾散(原书同卷),藿香叶7钱  山栀子仁3g  石膏15g　甘草90g  防风120g(焙),120g,泻脾胃伏火。,散肝舒脾,脾胃伏火，口疮口臭，烦渴易饥，口燥唇干，舌红脉数，以及脾热弄舌。,上锉，同蜜酒微炒香，为细末。每次3～6g，用水150m1，煎至75m1，去滓澄清。,温服。,焙,y,5.0,,,
清,散,内,11444.0,泻黄散,《医宗金鉴》卷六十五,石膏(煅)15g  栀子仁(生)30g  甘草(生)90g  防风(酒拌，微炒香)60g  豨莶草(酒蒸，晒干)120g,60g,清热泻火。,散肝舒脾,胃经血壅气滞，眼皮外翻，状如舌舐唇。,上为细末。,用白滚水调服，每次壮人6g，弱人3g，小儿1．8～2．1g。,酒拌，微炒香,y,5.0,,,
金,煮散,内,4067.0,火郁汤,《兰室秘藏》卷下,升麻  葛根  柴胡  白芍各30g　防风  甘草各15g,15g,升阳散火。,散肝舒脾,火郁于中，五心烦热。,上叹咀。每次15g，用水600ml，入连须葱白lOcm，煎至300ml，去滓。,稍热服，不拘时候。,,y,6.0,,,
清,汤,内,9157.0,扶土抑木煎,《重订通俗伤寒论》,炒白芍18g  炒白术9g  煨防风4．5g  陈皮3g  炒黄芩6g  煨葛根3g,4.5g,疏肝健脾，扶正抑木。,散肝舒脾,伤寒挟泻。,水煎，去滓。,温服。,煨,y,6.0,,,
明,汤,内,5076.0,生铁落饮,《证治准绳·类方》卷五,生铁落30g  石膏15g  龙齿15g(研)  白茯苓(去皮)  防风(去芦)各4．5g  玄参　秦艽各3g,4.5g,镇心安神，清热化痰。,散肝舒脾,痰热内蕴，心神不安，致发狂证。,上药除生铁落外，研为粗散，先将铁落加水2L，煮取1L，再入石膏等药，煮取500ml，去滓，入竹沥100ml，和匀。,分五次温服，不拘时候。,去芦,y,7.0,,,
清•孙伟（1711）,汤,内、外,8111.0,防风升麻汤 ,《良朋汇集》卷三,防风  升麻各2．4g  青皮  生地黄  牡丹皮  当归  细辛各1．5g,2.4g,祛风散火，凉血止痛。,散肝舒脾,牙疼,用水400ml，煎至300ml，去滓。,食远温漱口服。,,y,7.0,,,
明•薛铠集，薛已增补,煮散,内,3627.0,升麻防风汤,《保婴撮要》卷十三,升麻  防风  黄柏(炒)  茯苓  芍药(炒)  陈皮各15g  连翘  当归各2．1g,15g,清散胃热。,散肝舒脾,胃经实热，咽痛，口燥，腮痈。,每次6g，水煎，去滓。, 温服。,,y,8.0,,,
明,散,内、外,5341.0,白芷散,《证治准绳·类方》卷八,白芷  防风  连翘  石膏(煅)  荆芥  赤芍药  升麻(焙)  薄荷,wbz,疏风清热，凉血止痛。,散肝舒脾,下爿牙痛。,上为细末。,薄荷汤调服及搽牙龈，或煎服亦可。,,n,8.0,,,
金,汤,内,9332.0,助阳和血补气汤,《脾胃论》卷下又名助阳和血汤(《兰室秘藏》卷上)助阳活血汤(《东垣试效方》卷五),香白芷o．6g  蔓荆子o．9g  炙甘草  当归身(酒洗)  柴胡各1．5g  升麻  防风各2.1g  黄芪3g,2.1g,补气助阳，和血散热。,散肝舒脾,服苦寒药太过，热邪上壅，眼中白睛红，多眵泪，无疼痛而隐涩难开，昏花不明。,上药畋咀。用水230m1，煎至150m1，去滓。,临卧时热服。,,y,8.0,,,
明•皇甫中撰注,汤,内,11253.0,金色泻黄饮,《明医指掌》卷八,白芷4.5g  升麻3g  枳壳(炒)3g  黄芩(炒)3g  防风(去芦)3g  半夏3g  石斛3g  甘草1.5g,3g,疏风散热,散肝舒脾,脾经风热，唇口燥裂。,加生姜3片，水煎，去滓。,食后服。,,y,8.0,,,
约宋元,煮散,内,11764.0,细辛汤,《秘传眼科龙木论》卷四,细辛  人参  茯苓  车前子  五味子  黑参  防风  地骨皮各45g,45g,祛风清热。,散肝舒脾,脾胃积热，风邪外侵，眼睑内生肿块，初时小如麻米，年久大如桃李，摩擦瞳仁为翳。,上为末。每次3g，用水150m1，煎至75m1，去滓。,食后温服。,,y,8.0,,,
清•许克昌、毕法（1831年）,汤,内,2894.0,牙疼饮 ,《外科证治全书》卷二,石膏12g(研)  升麻4．5g  大生地15g  防风  薄荷叶  荆芥穗  前胡  天麻各6g  甘草3g(生),6g,祛风散火，清热止痛。,散肝舒脾,风火齿痛。,水煎，去滓。,食后热服。避风。,,y,9.0,,,
清•瞿焕文,汤,内,3613.0,升阳除湿汤,《医略六书》卷二十六,羌活4．5g  独活4．5g  苍术4．5g(炒)  防风4．5g  葛根4．5g  藁本4．5g  升麻2．4g(醋炒)  白芷4．5g  炙草4．5g,4.5g,祛风散寒，升阳除湿。,散肝舒脾,外感风寒，清气下陷，泄泻经闭，脉浮者。,水煎，去滓。,分二次温服。,,y,9.0,,,
宋,煮散,内,6679.0,芍药汤,《圣济总录》一五三,芍药  川芎  当归(切，焙)  防风(去叉)  桂(去粗皮)各15g  甘草(炙，锉)  生地黄(焙)各30g  枳壳(去瓤，麸炒)  白术各15g,15g,活血化瘀，行气健脾。,散肝舒脾,妇人血积，腹部攻刺疼痛不已，面黄体瘦，经水不调。,上为粗末。每次9g，用水150ml，煎至105ml，去滓。,温服。,,y,9.0,,,
清,汤,内,7328.0,回阳散痉汤,《辨证录》卷七,巴戟天15g  茯苓30g  山药15g　防风1．5g  炒栀子3g  白芍15g  当归10g  白术30g  甘草3g,1.5g,养肝祛风，清热利湿。,散肝舒脾,厥阴痉症。感湿热又感风邪，厥逆下利，舌卷囊缩，背曲肩垂，项似拔，腰似折，手足俱冷，其腹胀大。,水煎，去滓。,温服。,,y,9.0,,,
元•罗天益撰,汤,内,7778.0,冲和顺气汤,《卫生宝鉴》卷九又 名升麻白芷汤(《古今医鉴》卷九),葛根4．5g  升麻  防风  白芷各3g  黄芪2．4g  人参2．1g  甘草1．2g  芍药  苍术各0．9g,3g,益气升阳，疏风祛湿。,散肝舒脾,忧思不已，饮食失节，脾胃有伤，面色黧黑不泽，环唇尤甚，心悬如饥状，饥不欲食，气短而促。,上哎咀，作一服。用水300m1，加生姜三片，大枣二个，煎至150ml，去滓。,早饭后，午前温服。,,y,9.0,,,
金,汤,内,9315.0,助阳汤,《兰室秘藏》卷中)  又名升阳燥湿汤(原书同卷)  补真润肠汤《医学纲目》卷三十四,生黄芩  陈皮各1．5g  防风  高良姜  干姜  郁李仁  甘草各3g  柴胡3．6g  白葵花7朵,3g,升阳燥湿，散寒止带。,散肝舒脾,妇人带下，阴中如冰，阴户痛而控心，身黄皮缓，体重如山。,,食前稍热服,,y,9.0,,,
金,煮散,内,3617.0,升阳散火汤,《内外伤辨》卷中又名柴胡升麻汤(《兰室秘藏》卷下)柴胡升阳汤(《证治准绳·类方》卷一),升麻  葛根  独活  羌活  白芍药 人参各15g  甘草(炙)  柴胡各9g  防风7．5g  甘草(生)6g,7.5g,升阳散火，益气敛阴。,散肝舒脾,阳经火郁，耗气伤阴，四肢发热倦怠，肌肤烘热或骨蒸潮热，扪之烙手。,上畋咀，如麻豆大。每次15g，用水300ml，煎取150ml，去滓。, 大温服，不拘时候。,,y,10.0,,,
金,煮散,内,7893.0,安神汤,《兰室秘藏》卷中,生甘草  炙甘草各6g  防风7．5g　柴胡  升麻  酒生地黄  酒知母各15g  酒黄柏　羌活各30g　黄芪60g,7.5g,益气升阳，滋阴降火。,散肝舒脾,气虚阳陷，阴火上冲，头痛，头旋眼黑。,上为粗末。每次15g，用水375ml，煎取225ml，加蔓荆子1．5g，川芎0．9g，再煎取150mi，去滓。, 临卧热服。,,y,10.0,,,
