朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
元•危亦林,煮散,内,266.0,二黄散,《世医得效方》卷十六,黄芩  大黄  防风  薄荷各15g,15g,疏风散热，清肝泻火。,祛风解表(风热)　目,肝经风热上冲，目中胬肉攀睛。,上锉散。每次9st用水225m1，蜜少许，煎。,食后、临卧温服。,,y,4.0,,,
金,汤,外,1800.0,广大重明汤,《兰室秘藏》卷上,龙胆草  防风  生甘草  细辛各3g,3g,清热祛风，除湿止痒。,祛风解表,两目睑赤烂，热肿疼痛，及眼睑痒痛，抓之至破，眼弦生疮，目多眵泪，隐涩难开，胬肉泛长而痒。,上锉，纳甘草不锉，只作一锭，先以水375m1，煎龙胆一味，至一半，再入余三味，煎至125ml，滤去滓。,用清带热洗，以重汤坐令热，一日用五至七次，但洗毕，合眼一时。,,y,4.0,,,
宋,煮散,内,7136.0,当归散,《葆光道眼科龙木集》,当归  防风苗(泡)  蒺藜(炒)  牡丹皮各等分,等分　,祛风凉血。,祛风解表(风热)　目,风热侵入血分，目中红筋附睛。,上为末。,每次6g，加生姜、薄荷，用水煎服；或以茶清调服亦可。,,n,4.0,,,
宋,散,内,10837.0,拨云散,《大平惠民和剂局方》卷七绍兴续添方,羌活  防风  柴胡  甘草(炒)各500g,500g,祛风解毒，明目退翳。,祛风解表(风热)　目,风毒上攻，眼目昏暗，翳膜遮障，怕日羞明，多生热泪，隐涩难开，眶痒赤痛，睑眦红烂，瘀肉侵睛。,上为细末。,"每次6g，食后、临睡时用薄荷汤或菊
花苗汤调服。",,y,4.0,,,
宋,丸,内,2907.0,车前子丸,太平圣惠方》卷三十三)  又名驻景丸(《圣济总录》卷一O八,车前子  羚羊角屑  防风  菟丝子(jiu浸三日，晒干，别捣为末)各30g  决明子45g,30g,祛风清热，补肝明目。,祛风解表(风热)　目,肝脏亏虚，风热上冲，眼目昏暗。,上为末，炼蜜为丸，如梧桐子大。,每次30丸，食前以温水送服，夜卧再服。,,y,5.0,,,
清•祝补斋,散,内,4324.0,正翻散,《卫生鸿宝》卷二,"石膏15g(煅)  栀子30g(生)  生甘
草9g  防风60g(酒拌抄)  豨莶草120g(酒润晒干)",60g,祛风清热。,祛风解表(风热)　目,风热上扰，眼皮外翻，如舌舔唇之状。,研细。, 壮人每次6g，弱人3g，小儿1．8～2．1g，白开水调服。,酒拌抄,y,5.0,,,
宋,散,内,4490.0,甘菊花散,《圣济总录》卷一O四,甘菊花120g  防风(去叉)60g  蒺藜子(炒，去角)  恶实(炒)各30g  甘草(炙，锉)15g,60g,祛风清热。,祛风解表(风热)　目,风毒攻眼，碜痛不可忍。,上为散。,每次6g，熟水调，食后、临卧服。,去叉,y,5.0,,,
元,丸,内,5470.0,白薇丸,《世医得效方》卷十六,白薇15g  防风  白蒺藜(去角，炒) 石榴皮  羌活各9g,9g,疏风清热。,祛风解表(风热)　目,漏睛脓出。心气不宁，风热停留在睑中，眦肾头结聚生疮，流出脓汁，或如涎水，粘睛上下，不痛，仍无翳膜。,上为末，米粉糊为丸，如梧桐子大。,每次20丸，白汤送服。,,y,5.0,,,
元,散,外,10521.0,驱风散,《世医得效方》卷十六,防风  龙胆草各15g  铜青9g  五倍子6g  淡竹叶1握,15g,祛风清热。,祛风解表(风热)　目,烂弦风赤，浮翳、胬肉攀睛，涩痒眵泪。,上药为末。,每次1．5g，热汤60m1泡，澄清，洗眼。,,y,5.0,,,
约宋元,丸,内,1655.0,山药丸 ,《秘传眼科龙木论》卷二,干山药  生地黄  人参  茯苓  防风　泽泻各30g,30g,补脾养肝祛风。,明目,肝风目暗内障,上为末，炼蜜为丸，如梧桐子大。,每次10丸，空心用茶送服。,,y,6.0,,,
宋,煮散,内,2454.0,木通汤,《圣济总录》卷一二,木通(锉)45g  防风(去叉)30g  赤芍药45g  白芷22．5g  山栀子仁30g  大黄(锉，炒)45g,30g,祛风泻火，活血祛瘀。,明目,目伤睛损。,上为粗末，每次15g，用水225ml，加苦竹叶7片，煎至160ml，去滓，入地黄汁60ml，更煎两沸。,食后温服，临卧再服。,,y,6.0,,,
约宋元,膏,外,4664.0,龙脑煎,《秘传眼科龙木论》卷五,冰片7．5g  秦皮  防风  细辛  甘草  宣黄连各45g,45g,疏风清热，退翳明目。,祛风解表,天行后赤眼外障。,上为末，用水250ml，浸药末三日三夜，用银铫子煎至180m1，以束绵滤去滓，又入蜜120g，煎至五、七沸，入瓷瓶子内盛，勿令泄气。,点眼。,,y,6.0,,,
宋•孙用和,丸,内,6460.0,地黄丸,《传家秘宝》卷中)  又名明睛地黄丸(《太平惠民和剂局方》卷七续添诸局经验秘方)  明眼地黄丸(《世医得效方》卷十六)  明目地黄丸(《原机启微·附录》,地黄1kg  杏仁250g(去皮、尖)  金钗石斛  牛膝  防风  枳壳各120g,120g,补肝益肾，祛风明目。,明目　虚,肾阴不足，肝血亦虚亦亏，风邪外客，眼目昏暗，膜入水轮，漏睛眵泪，眼见黑花，视物不明，混睛冷泪，翳膜遮障；阴亏血虚，筋脉失养，肢节拘急，筋脉挛痛。,上为末，炼蜜为丸，如梧桐子大。,每次3g，空心用无灰豆淋酒送服，一日二次。,,y,6.0,,,
